mjd	field
62122.31944470857	COSMOS
62128.33333359816	COSMOS
62134.33333359886	COSMOS
62143.319444711015	COSMOS
62144.180555822226	COSMOS
62151.291666934165	COSMOS
62157.27777804597	COSMOS
62164.34722249124	COSMOS
62171.097222492026	COSMOS
62172.11111138103	COSMOS
62179.22222249297	COSMOS
62185.20833360478	COSMOS
62192.29166693894	COSMOS
62192.30555582783	COSMOS
62199.041666939724	COSMOS
62206.13888916277	COSMOS
62212.12500027458	COSMOS
62219.23611138652	COSMOS
62220.250000275526	COSMOS
62228.00000027643	COSMOS
62234.06944472158	COSMOS
62241.0555558335	COSMOS
62247.166666945326	COSMOS
62255.9861113908	COSMOS
62256.986111390914	COSMOS
62262.98611139161	COSMOS
62268.98611139231	COSMOS
62275.06944472635	COSMOS
62279.9722225047	COSMOS
62285.9722225054	COSMOS
62290.97222250598	COSMOS
62302.00000028504	COSMOS
62477.3194447499	COSMOS
62482.31944475048	COSMOS
62488.31944475118	COSMOS
62498.30555586345	COSMOS
62499.29166697468	COSMOS
62506.31944475327	COSMOS
62512.30555586508	COSMOS
62518.33333364356	COSMOS
62518.34722253245	COSMOS
62525.26388919992	COSMOS
62527.13888920014	COSMOS
62534.25000031208	COSMOS
62540.23611142389	COSMOS
62547.319444758046	COSMOS
62547.33333364694	COSMOS
62554.05555586994	COSMOS
62555.06944475895	COSMOS
62561.16666698188	COSMOS
62568.152778093805	COSMOS
62574.26388920563	COSMOS
62575.277778094634	COSMOS
62583.013889206646	COSMOS
62589.09722254069	COSMOS
62596.08333365261	COSMOS
62602.194444764435	COSMOS
62610.986111432125	COSMOS
62611.98611143224	COSMOS
62618.01388921072	COSMOS
62624.00000032253	COSMOS
62629.98611143434	COSMOS
62630.08333365657	COSMOS
62639.97222254661	COSMOS
62640.97222254673	COSMOS
62645.97222254731	COSMOS
62651.97222254801	COSMOS
62657.02777810415	COSMOS
62671.972222550336	COSMOS
62834.31944479146	COSMOS
62841.31944479227	COSMOS
62843.319444792505	COSMOS
62854.305555904895	COSMOS
62860.333333683375	COSMOS
62866.33333368407	COSMOS
62872.33333368477	COSMOS
62881.30555590804	COSMOS
62883.166667019366	COSMOS
62889.27777813119	COSMOS
62896.25000035422	COSMOS
62902.361111466045	COSMOS
62902.361111466045	COSMOS
62909.06944480016	COSMOS
62910.08333368917	COSMOS
62916.19444480099	COSMOS
62923.18055591291	COSMOS
62929.263889246955	COSMOS
62929.291667024736	COSMOS
62930.30555591374	COSMOS
62938.027778136864	COSMOS
62944.125000359796	COSMOS
62951.11111147172	COSMOS
62957.22222258354	COSMOS
62957.22222258354	COSMOS
62966.00000036234	COSMOS
62967.00000036246	COSMOS
62973.04166702983	COSMOS
62978.02777814152	COSMOS
62984.13888925334	COSMOS
62993.98611147671	COSMOS
62995.986111476945	COSMOS
63000.98611147753	COSMOS
63006.972222589335	COSMOS
63012.05555592326	COSMOS
63018.97222259073	COSMOS
63029.97222259201	COSMOS
63033.97222259248	COSMOS
63038.97222259306	COSMOS
63215.31944483581	COSMOS
63220.333333725284	COSMOS
63226.33333372598	COSMOS
63236.31944483826	COSMOS
63238.194444838475	COSMOS
63244.3055559503	COSMOS
63249.29166706199	COSMOS
63255.34722261825	COSMOS
63264.09722261927	COSMOS
63265.111111508275	COSMOS
63271.2222226201	COSMOS
63278.20833373202	COSMOS
63284.305555954954	COSMOS
63284.319444843844	COSMOS
63285.34722262174	COSMOS
63292.041667066966	COSMOS
63299.152778178905	COSMOS
63305.13888929071	COSMOS
63312.25000040265	COSMOS
63320.013889292444	COSMOS
63321.01388929256	COSMOS
63327.06944484882	COSMOS
63333.05555596063	COSMOS
